ID,Isconfidential,ProjectName,Street,City,State,Zipcode,Country,LEEDSystemVersionDisplayName,PointsAchieved,CertLevel,CertDate,IsCertified,OwnerTypes,GrossFloorArea,UnitOfMeasurement,TotalPropArea,ProjectTypes,OwnerOrganization,RegistrationDate
1000132402,No,Starbucks China Production Workshop,Plot south of Honghu Road and west of Pe,Kunshan,Jiangsu,215337,CN,LEED v4 BD+C: NC,84,Platinum,06/05/2024 00:00,Yes,,10774,Sq m,0,Industrial Manufacturing, ,17/06/2020 00:00
1000132485,No,Gwinnett County Police Training Exp.,854 Winder Highway,Lawrenceville,GA,30045,US,LEED v4 BD+C: NC,42,Certified,25/07/2024 00:00,Yes,"Government Use: Local, County",26182,Sq ft,0,Office: Government,Gwinnett County Government,22/06/2020 00:00
1000132496,Yes,Confidential,Confidential,Confidential,CA,Confidential,US,LEED v4 BD+C: NC,48,Certified,03/12/2024 00:00,Yes,Confidential,35135,Sq ft,0,Confidential,Confidential,23/06/2020 00:00
1000132576,No,Modera Clarendon,3415 Washington Boulevard,Arlington,VA,22201,US,LEED v4 BD+C: NC,51,Silver,05/06/2024 00:00,Yes,Corporate: Privately Held,269000,Sq ft,0,Multi-Family Residential: Apartment,"MCRT Investments, LLC",25/06/2020 00:00
1000132769,Yes,Confidential,Confidential,Confidential,NC,Confidential,US,LEED v4 BD+C: NC,51,Silver,12/02/2024 00:00,Yes,Confidential,16000,Sq ft,0,Confidential,Confidential,01/07/2020 00:00
1000132770,No,Charles M. Murray Maintenance Facility,8515 Lee Highway,Fairfax,VA,22031,US,LEED v4 BD+C: NC,50,Silver,12/12/2024 00:00,Yes,"Government Use: Local, County",14232,Sq ft,0,Service: Vehicle Service/Repair,Fairfax Water,30/06/2020 00:00
1000132841,No,Viposa - NOA,"Av. Maria Jose Colombo, 639",Nova Andradina,MS,79750-000,BR,LEED v4 BD+C: NC,52,Silver,25/07/2024 00:00,Yes,Corporate: Privately Held,12186,Sq m,0,Industrial Manufacturing,VIPOSA S.A.,03/07/2020 00:00
1000132908,No,OFICINAS SEDE CENTRAL SIMON BARCELONA,Sancho de Avila 66,Barcelona,Barcelona,8018,ES,LEED v4 BD+C: NC,86,Platinum,21/03/2025 00:00,Yes,Corporate: Privately Held,9702,Sq m,0,Office: Mixed-Use,ACTIUS IMMOBILIARIS SIMON,08/07/2020 00:00
1000132952,Yes,Confidential,Confidential,Confidential,,Confidential,CN,LEED v4 BD+C: NC,95,Platinum,21/07/2024 00:00,Yes,Confidential,7571,Sq m,0,Confidential,Confidential,09/07/2020 00:00
1000133076,No,VASTRAKALA EXPORTS PRIVATE LIMITED,"Mettukandigai, Gudapakkam village, Poona",Chennai,Tamil Nadu,600124,IN,LEED v4.1 BD+C: NC,84,Platinum,17/07/2024 00:00,Yes,Corporate: Privately Held,4096,Sq m,0,Industrial Manufacturing,VASTRAKALA EXPORTS PRIVATE LIMITED,14/07/2020 00:00
