ID,Isconfidential,ProjectName,Street,City,State,Zipcode,Country,LEEDSystemVersionDisplayName,PointsAchieved,CertLevel,CertDate,IsCertified,OwnerTypes,GrossFloorArea,UnitOfMeasurement,TotalPropArea,ProjectTypes,OwnerOrganization,RegistrationDate
1000184297,No,110 East 59th Street,110 East 59th Street,New York,NY,10022,US,LEED v4.1 O+M: EB,60,Gold,01/04/2024 00:00,Yes,Corporate: Privately Held,494521,Sq ft,0,Office: Administrative/Professional,"JACK RESNICK & SONS, INC.",29/08/2023 00:00
1000184318,No,Estidama Mosque,Masdar City,Abu Dhabi,AE,00000,AE,LEED v4 BD+C: NC,90,Platinum,24/10/2024 00:00,Yes,Corporate: Publicly Traded,482,Sq m,0,Religious Worship,Masdar City,30/08/2023 00:00
1000184351,No,Fulvio Testi 250,viale Fulvio Testi 250,Milano,MI,20126,IT,LEED v4.1 O+M: EB,63,Gold,21/08/2024 00:00,Yes,Investor: Investment Manager,13426,Sq m,0,Office: Other Office,Axa Reim SGP Italian Branch,30/08/2023 00:00
1000184430,No,"TCI Express Limited, Pune","TCI Express Limited, Sorting Centre Gat",Pune,Maharashtra,410501,IN,LEED v4.1 O+M: EB,71,Gold,16/02/2024 00:00,Yes,Corporate: Privately Held,132671,Sq ft,0,Warehouse: Nonrefrigerated Distribution/Shipping,TCI EXPRESS LIMITED,31/08/2023 00:00
1000184434,No,DragonCor Foshan Lubao Logistics Park W1,"No.1 Baohua South Road, Sanshui District",Foshan City,Guangdong,528139,CN,LEED v4.1 O+M: EB,77,Gold,01/03/2024 00:00,Yes,Investor: Investment Manager,19770,Sq m,0,Warehouse: General,"Shanghai DragonCor Management Co., Ltd.",31/08/2023 00:00
1000184436,No,DragonCor Foshan Lubao Logistics Park W2,"No.1 Baohua South Road, Sanshui District",Foshan City,Guangdong,528139,CN,LEED v4.1 O+M: EB,76,Gold,01/03/2024 00:00,Yes,Investor: Investment Manager,19770,Sq m,0,Warehouse: General,"Shanghai DragonCor Management Co., Ltd.",31/08/2023 00:00
1000184438,No,DragonCor Foshan Lubao Logistics Park W3,"No.1 Baohua South Road, Sanshui District",Foshan City,Guangdong,528139,CN,LEED v4.1 O+M: EB,76,Gold,01/03/2024 00:00,Yes,Investor: Investment Manager,19770,Sq m,0,Warehouse: General,"Shanghai DragonCor Management Co., Ltd.",31/08/2023 00:00
1000184440,No,DragonCor Foshan Lubao Logistics Park W4,"No.1 Baohua South Road, Sanshui District",Foshan City,Guangdong,528139,CN,LEED v4.1 O+M: EB,74,Gold,23/03/2024 00:00,Yes,Investor: Investment Manager,40136,Sq m,0,Warehouse: General,"Shanghai DragonCor Management Co., Ltd.",31/08/2023 00:00
1000184442,No,DragonCor Foshan Lubao Logistics Park W5,"No.1 Baohua South Road, Sanshui District",Foshan City,Guangdong,528139,CN,LEED v4.1 O+M: EB,75,Gold,23/03/2024 00:00,Yes,Investor: Investment Manager,40287,Sq m,0,Warehouse: General,"Shanghai DragonCor Management Co., Ltd.",31/08/2023 00:00
1000184465,No,Zero Latency,"Av. Pere Molas, s/n, 43840 Vila-seca, Ta",Tarragona,Tarragona,43840,ES,LEED v4 BD+C: NC,45,Certified,29/05/2024 00:00,Yes,Corporate: Privately Held,287,Sq m,0,Other,PortAventura,31/08/2023 00:00
1000184482,No,AIRBUS CHINA OFFICE BUILDING,"Building 2, No.8 Tianzhu Road, Shunyi Di",Beijing,,101312,CN,LEED v4.1 O+M: EB,61,Gold,15/03/2024 00:00,Yes,"Government Use: Other (utility, airport,",18558,Sq m,0,Office: Mixed-Use,China Aviation Supplies Holding Company,31/08/2023 00:00
1000184500,No,FERRER INTERQUIM,Carrer de Joan Buscalla 10,Sant Cugat del Valles,Barcelona,8173,ES,LEED v4.1 O+M: EB,68,Gold,26/01/2024 00:00,Yes,Corporate: Privately Held,4188,Sq m,0,Office: Administrative/Professional,Ferrer Interquim,01/09/2023 00:00
1000184578,No,MERLIN PROPERTIES CRISTALIA 1,"VÝa de los Poblados, 3",Madrid,Madrid,28033,ES,LEED v4 O+M: EB,65,Gold,01/04/2025 00:00,Yes,Investor: Equity Fund,13084,Sq m,0,Office: Other Office,Merlin Properties Socimi S.A.,05/09/2023 00:00
1000184579,No,Recertification - Encinar,"Manuel Pombo Angulo, 20",Madrid,Madrid,28050,ES,LEED v4 O+M: EB,66,Gold,30/09/2024 00:00,Yes,Investor: Equity Fund,3785,Sq m,0,Office: Other Office,Merlin Properties Socimi S.A.,05/09/2023 00:00
1000184716,No,Beijing Oriental Plaza,"No.1, East Chang An Ave., Dong Cheng Dis",BEIJING,,100738,CN,LEED v4 O+M: EB,89,Platinum,11/04/2024 00:00,Yes,Corporate: Publicly Traded,403045,Sq m,0,Office: Mixed-Use,"Beijing Oriental Plaza Co., Ltd",07/09/2023 00:00
1000184797,Yes,Confidential,Confidential,Confidential,Karnataka,Confidential,IN,LEED v4.1 O+M: EB,90,Platinum,24/06/2024 00:00,Yes,Confidential,32281,Sq ft,0,Confidential,Confidential,08/09/2023 00:00
1000184810,No,333 Ellington,333 Ellington Blvd,Gaithersburg,MD,20878,US,LEED v4 BD+C: NC,60,Gold,14/10/2024 00:00,Yes,Corporate: Privately Held,251074,Sq ft,0,Multi-Family Residential: Apartment,Fairfield Residential Company LLC,08/09/2023 00:00
1000184927,No,Via del Lauro 7,Via del Lauro 7,Milan,MI,20121,IT,LEED v4.1 O+M: EB,70,Gold,10/03/2025 00:00,Yes,Investor: Equity Fund,7951.5,Sq m,0,Office: Administrative/Professional,Fondo FIEPP,11/09/2023 00:00
1000184964,No,SOTATECH,"Arco Vial #199 Int D, Parque Industrial",Apodaca,NL,66603,MX,LEED v4.1 O+M: EB,72,Gold,16/05/2024 00:00,Yes,Corporate: Privately Held,6884,Sq ft,0,Warehouse: Nonrefrigerated Distribution/Shipping,SOTATECH,11/09/2023 00:00
1000184985,No,CNOOC Plaza,"No. 6, Taiyang Gong Nan Jie Chaoyang Dis",Beijing,,100029,CN,LEED v4.1 O+M: EB,83,Platinum,25/01/2024 00:00,Yes,Corporate: Privately Held,113500,Sq m,0,Office: Administrative/Professional,CNOOC Property Management Beijing Branch,12/09/2023 00:00
1000185075,No,Bundang First Tower,"55, Bundang-ro, Bundang-gu",Seongnam-si,Kyonggi-do,13591,KR,LEED v4 O+M: EB,64,Gold,26/03/2024 00:00,Yes,"Investor: REIT,Non-traded",40295,Sq m,0,Office: Mixed-Use,KOCREF 57 REIT,13/09/2023 00:00
1000185152,Yes,Confidential,Confidential,Confidential,Andra Pradesh,Confidential,IN,LEED v4 O+M: EB,88,Platinum,23/10/2024 00:00,Yes,Confidential,177000,Sq ft,0,Confidential,Confidential,15/09/2023 00:00
1000185177,No,Elixrr Industries Pvt. Ltd.,"Plot No. 101, G.I.D.C. Palej Industrial",Bharuch,Gujarat,392220,IN,LEED v4 BD+C: NC,47,Certified,21/09/2024 00:00,Yes,Corporate: Privately Held,145000,Sq ft,0,Industrial Manufacturing,Elixrr Industries Pvt. Ltd.,18/09/2023 00:00
1000185359,No,MERCK NANTONG ADMIN BUILDING,"No. 168 Hexing Road, NETDA",Nantong,Jiangsu,226010,CN,LEED v4.1 O+M: EB,68,Gold,25/01/2024 00:00,Yes,Business Improvement District,2477,Sq m,0,Office: Administrative/Professional,MERCK NANTONG Site,21/09/2023 00:00
1000185366,Yes,Confidential,Confidential,Confidential,Karnataka,Confidential,IN,LEED v4.1 O+M: EB,83,Platinum,22/10/2024 00:00,Yes,Confidential,410321,Sq ft,0,Confidential,Confidential,22/09/2023 00:00
1000185368,Yes,Confidential,Confidential,Confidential,Pondicherry,Confidential,IN,LEED v4.1 O+M: EB,81,Platinum,22/01/2024 00:00,Yes,Confidential,60581,Sq ft,0,Confidential,Confidential,22/09/2023 00:00
1000185375,No,DCEC Testing Center Building,Fancheng District,Xiangyang,Hubei,441058,CN,LEED v4 BD+C: NC,60,Gold,26/01/2024 00:00,Yes,Corporate: Publicly Traded,13700,Sq m,0,Office: Mixed-Use,"Dongfeng Cummins Engine Co., Ltd.",22/09/2023 00:00
1000185377,Yes,Confidential,Confidential,Confidential,Barcelona,Confidential,ES,LEED v4.1 O+M: EB,67,Gold,22/07/2024 00:00,Yes,Confidential,20907,Sq m,0,Confidential,Confidential,22/09/2023 00:00
1000185379,No,PRESTIGE CYBER TOWER,"117,Rajiv Gandhi Salai OMR, Karapakkam",Chennai,Tamil Nadu,600100,IN,LEED v4.1 O+M: EB,81,Platinum,10/04/2024 00:00,Yes,Corporate: Privately Held,416100,Sq ft,0,Office: Administrative/Professional,Prestige Property Maintenance services,22/09/2023 00:00
1000185382,No,LAGAR H,"BR 153, KM 383",Cachoeira do Sul,RS,96510-899,BR,LEED v4 BD+C: NC,64,Gold,04/10/2024 00:00,Yes,Corporate: Privately Held,982,Sq m,0,Industrial Manufacturing,LAGAR H,22/09/2023 00:00
1000185400,No,Condominio Torre Almirante,"Avenida Almirante Barroso, 81",Rio de Janeiro,RJ,20031-004,BR,LEED v4.1 O+M: EB,67,Gold,31/03/2025 00:00,Yes,Corporate: Privately Held,50949.05,Sq m,0,Office: Administrative/Professional,Condominio Torre Almirante,23/09/2023 00:00
1000185402,No,DMart Bhayli Vadodara,"Plot No.45,TPS-3 Near Sterling Cancer Ho",Vadodara,Gujarat,391410,IN,LEED v4.1 O+M: EB,74,Gold,21/02/2024 00:00,Yes,Corporate: Privately Held,61538,Sq ft,0,Retail: Convenience Store,Avenue Supermarts Limited,23/09/2023 00:00
1000185422,No,Dmart Belapur,"Plot no.10, sector 15 CBD",Mumbai,Maharashtra,400814,IN,LEED v4.1 O+M: EB,72,Gold,12/03/2024 00:00,Yes,Corporate: Publicly Traded,8859,Sq m,0,Retail: Other Retail,Avenue Supermarts Ltd.,25/09/2023 00:00
1000185439,No,Dmart Badlapur 2,"Ritu World, Barrage Rd, Swami Samarth Na",Mumbai,Maharashtra,421503,IN,LEED v4.1 O+M: EB,78,Gold,05/03/2024 00:00,Yes,Corporate: Publicly Traded,5673,Sq m,0,Retail: Other Retail,Avenue Supermarts Ltd.,25/09/2023 00:00
1000185458,No,Galeria Laguna,"Av. do Batel,1713 Batel",Curitiba,PR,80420-090,BR,LEED v4.1 O+M: EB,83,Platinum,10/06/2024 00:00,Yes,Corporate: Privately Held,937,Sq m,0,Other,Laguna Construtora & Incorporadora Ltda,25/09/2023 00:00
1000185476,No,Recertification - Diagonal 199,Av. Diagonal 199,Barcelona,Barcelona,8018,ES,LEED v4 O+M: EB,66,Gold,24/09/2024 00:00,Yes,Investor: Equity Fund,6102,Sq m,0,Office: Other Office,Merlin Properties Socimi S.A.,26/09/2023 00:00
1000185480,No,Dmart Tirupur,"Bharathi Nagar, Ammapalayam Post Annupar",Tirupur,Tamil Nadu,641606,IN,LEED v4.1 O+M: EB,78,Gold,04/03/2024 00:00,Yes,Corporate: Publicly Traded,5368,Sq m,0,Retail: Other Retail,Avenue Supermarts Ltd.,26/09/2023 00:00
1000185482,No,Dmart Hosur,"SF.NOS.361/2,360,359(pt),343,356(pt),344",Hosur,Tamil Nadu,635126,IN,LEED v4.1 O+M: EB,75,Gold,22/02/2024 00:00,Yes,Corporate: Publicly Traded,8251,Sq m,0,Retail: Other Retail,Avenue Supermarts Ltd.,26/09/2023 00:00
1000185484,No,Dmart Sulur,"SF No.184/1A2, Kannampalayam Village & P",Sulur,Tamil Nadu,641402,IN,LEED v4.1 O+M: EB,77,Gold,13/02/2024 00:00,Yes,Corporate: Publicly Traded,5022,Sq m,0,Retail: Other Retail,Avenue Supermarts Ltd.,26/09/2023 00:00
1000185486,No,Dmart Avaniyapuram Madhurai,"351/1, Avaniyapuram bypass, south thaluk",Madurai,Tamil Nadu,625012,IN,LEED v4.1 O+M: EB,75,Gold,12/03/2024 00:00,Yes,Corporate: Publicly Traded,7014,Sq m,0,Retail: Other Retail,Avenue Supermarts Ltd.,26/09/2023 00:00
1000185488,No,Dmart Trichy Airport Road,"Block No.19, Kottapattu village, K.Satha",Trichy,Tamil Nadu,620004,IN,LEED v4.1 O+M: EB,71,Gold,21/02/2024 00:00,Yes,Corporate: Publicly Traded,2172,Sq m,0,Retail: Other Retail,Avenue Supermarts Ltd.,26/09/2023 00:00
1000185490,No,Dmart Kiwale,"Kiwale Pune DMart, Mumbai Bangalore By P",Pune,Maharashtra,412101,IN,LEED v4.1 O+M: EB,77,Gold,28/02/2024 00:00,Yes,Corporate: Publicly Traded,4973,Sq m,0,Retail: Other Retail,Avenue Supermarts Ltd.,26/09/2023 00:00
1000185494,No,Dmart Kanadia,"391/1 Kanadia Road Khajrana, Near Shani",Kanadia,Maharashtra,452016,IN,LEED v4.1 O+M: EB,71,Gold,21/02/2024 00:00,Yes,Corporate: Publicly Traded,6872,Sq m,0,Retail: Other Retail,Avenue Supermarts Ltd.,26/09/2023 00:00
1000185497,No,Dmart Rajnandgaon,"Khasra no 405(P)- Khasra no 407 (P), Sun",Rajnandgaon,Chhaattisgarh,491441,IN,LEED v4.1 O+M: EB,77,Gold,21/02/2024 00:00,Yes,Corporate: Publicly Traded,3366,Sq m,0,Retail: Other Retail,Avenue Supermarts Ltd.,26/09/2023 00:00
1000185499,No,Dmart Charoda bhilai,"Old Sairam ford showroom, infront of bal",Bhilai,Chhaattisgarh,490025,IN,LEED v4.1 O+M: EB,77,Gold,21/02/2024 00:00,Yes,Corporate: Publicly Traded,6417,Sq m,0,Retail: Other Retail,Avenue Supermarts Ltd.,26/09/2023 00:00
1000185501,No,Dmart Yavatmal,"Survey No-52/12, Arni Bypass, Opp.Elemen",Yavatmal,Maharashtra,445002,IN,LEED v4.1 O+M: EB,79,Gold,21/02/2024 00:00,Yes,Corporate: Publicly Traded,3540,Sq m,0,Retail: Other Retail,Avenue Supermarts Ltd.,26/09/2023 00:00
1000185507,No,MRK Healthcare Existing Factory Building,"R5W9+RWP, SH 130",Patan,Gujarat,384290,IN,LEED v4.1 O+M: EB,69,Gold,22/03/2025 00:00,Yes,Corporate: Privately Held,4645,Sq m,0,Industrial Manufacturing,MRK Healthcare Pvt. Ltd.,26/09/2023 00:00
1000185537,No,MEHMETCIK VAKFI ETIMESGUT,ERLER MAHALLESI 2715. CADDE,ANKARA,Ankara,06790,TR,LEED v4.1 O+M: EB,70,Gold,27/02/2024 00:00,Yes,Corporate: Privately Held,268,Sq m,0,Service: Other Service,Guzel Enerji Akaryakit A.S.,27/09/2023 00:00
1000185539,No,GUZEL ENERJI MACUNKOY,"ISTANBUL YOLU UZERI 8. KM MACUN, NO:250",ANKARA,Ankara,06200,TR,LEED v4.1 O+M: EB,70,Gold,27/02/2024 00:00,Yes,Corporate: Privately Held,114,Sq m,0,Service: Other Service,Guzel Enerji Akaryakit A.S.,27/09/2023 00:00
1000185542,No,GUZEL ENERJI MURATPASA,KONUKSEVER MAH.GAZI BULVARI NO:264 MURAT,ANTALYA,Antalya,07010,TR,LEED v4.1 O+M: EB,73,Gold,17/04/2024 00:00,Yes,Corporate: Privately Held,170.3,Sq m,0,Service: Other Service,Guzel Enerji Akaryakit A.S.,27/09/2023 00:00
1000185544,No,GUZEL ENERJI ALTUNIZADE,MAHIR IZ CADDESI NO:39 ALTUNIZADE/ USKUD,ISTANBUL,Istanbul,34662,TR,LEED v4.1 O+M: EB,70,Gold,27/02/2024 00:00,Yes,Corporate: Privately Held,104,Sq m,0,Service: Other Service,Guzel Enerji Akaryakit A.S.,27/09/2023 00:00
1000185546,No,GUZEL ENERJI BAKIRKOY,KARTALTEPE MAH. INCIRLI CAD. NO:78B BAKI,ISTANBUL,Istanbul,34145,TR,LEED v4.1 O+M: EB,81,Platinum,01/04/2024 00:00,Yes,Corporate: Privately Held,219,Sq m,0,Service: Other Service,Guzel Enerji Akaryakit A.S.,27/09/2023 00:00
1000185548,No,GUZEL ENERJI ATAKENT,Atakent mah. Yanyol cad. No:27 KUCUKCEKM,ISTANBUL,Istanbul,34307,TR,LEED v4.1 O+M: EB,74,Gold,27/02/2024 00:00,Yes,Corporate: Privately Held,862,Sq m,0,Service: Other Service,Guzel Enerji Akaryakit A.S.,27/09/2023 00:00
1000185550,No,GUZEL ENERJI BOSTANCI,ICERENKOY MAH. BUYUK KARTAL SOK. NO:2/ 1,ISTANBUL,Istanbul,34752,TR,LEED v4.1 O+M: EB,71,Gold,14/08/2024 00:00,Yes,Corporate: Privately Held,100,Sq m,0,Service: Other Service,Guzel Enerji Akaryakit A.S.,27/09/2023 00:00
1000185552,No,GUZEL ENERJI TUYAP,CUMHURIYET MAH. ESKI,ISTANBUL,Istanbul,34500,TR,LEED v4.1 O+M: EB,63,Gold,22/02/2024 00:00,Yes,Corporate: Privately Held,100,Sq m,0,Service: Other Service,Guzel Enerji Akaryakit A.S.,27/09/2023 00:00
1000185555,No,MEHMETCIK VAKFI YENISEHIR,YENISEHIR MAH. DEDEPASA CAD. N0:21 PENDI,ISTANBUL,Istanbul,34912,TR,LEED v4.1 O+M: EB,78,Gold,02/04/2024 00:00,Yes,Corporate: Privately Held,600,Sq m,0,Service: Other Service,Guzel Enerji Akaryakit A.S.,27/09/2023 00:00
1000185557,No,GUZEL ENERJI ORTAKENT,MUSKEBI MAHALLESI,Mugla,Mugla,48400,TR,LEED v4.1 O+M: EB,69,Gold,22/02/2024 00:00,Yes,Corporate: Privately Held,153,Sq m,0,Service: Other Service,Guzel Enerji Akaryakit A.S.,27/09/2023 00:00
1000185559,No,GUZEL ENERJI ORDU,BAHCELIEVLER MAH. ATATURK BULVARI NO:153,ORDU,Ordu,52200,TR,LEED v4.1 O+M: EB,71,Gold,03/04/2024 00:00,Yes,Corporate: Privately Held,148,Sq m,0,Service: Other Service,Guzel Enerji Akaryakit A.S.,27/09/2023 00:00
1000185579,No,DMart Doddaballapur,"Survey No-71,Mutturu Village,Kasaba(Hobl",Bangalore,Karnataka,561203,IN,LEED v4.1 O+M: EB,75,Gold,06/01/2024 00:00,Yes,Corporate: Privately Held,70698,Sq ft,0,Retail: Convenience Store,Avenue Supermarts Ltd.,27/09/2023 00:00
1000185581,No,DMart Palanpur,Plot no 50+53 near Riddhi Siddhi Party p,Palanpur,Gujarat,385001,IN,LEED v4.1 O+M: EB,75,Gold,06/01/2024 00:00,Yes,Corporate: Privately Held,56350,Sq ft,0,Retail: Convenience Store,Avenue Supermarts Limited,27/09/2023 00:00
1000185587,No,DMart Attavar Mangalore,"TS.NO.204,223P,223, P .NO.86,Nandigudda",Mangaluru,Karnataka,575001,IN,LEED v4.1 O+M: EB,73,Gold,06/01/2024 00:00,Yes,Corporate: Privately Held,85434,Sq ft,0,Retail: Convenience Store,Avenue Supermarts Limited,27/09/2023 00:00
1000185596,No,DMart Nava Naroda,"Opp- Hanspura Police Chowki, Naroda-Dehg",Ahmedabad,Gujarat,382330,IN,LEED v4.1 O+M: EB,73,Gold,06/01/2024 00:00,Yes,Corporate: Privately Held,143054,Sq ft,0,Retail: Convenience Store,Avenue Supermarts Limited,27/09/2023 00:00
1000185620,No,DMart Bharuch,"Plot No. 80 A/P, Next to Golden Circle A",Bharuch,Gujarat,392001,IN,LEED v4.1 O+M: EB,71,Gold,06/01/2024 00:00,Yes,Corporate: Privately Held,69543,Sq ft,0,Retail: Convenience Store,Avenue Supermarts Limited,28/09/2023 00:00
1000185624,No,DMart Surendra Nagar Gujarat,"Plot No.103+104/1,Opp. Market Yard,In fr",Surendra Nagar,Gujarat,363030,IN,LEED v4.1 O+M: EB,72,Gold,08/02/2024 00:00,Yes,Corporate: Privately Held,45873,Sq ft,0,Retail: Convenience Store,Avenue Supermarts Limited,28/09/2023 00:00
1000185628,No,BODIO H,"Viale L. Bodio, 37",Milan,MI,20121,IT,LEED v4.1 O+M: EB,73,Gold,14/06/2024 00:00,Yes,Investor: Bank,2059.92,Sq m,0,Office: Mixed-Use,BNP REIM ITALY SGR P.A. - Fondo Phoenix,28/09/2023 00:00
1000185634,No,Universal American School-Cafeteria Bldg,"Plot No. 4124768, Al Kheeran",Dubai,AE,49776,AE,LEED v4 BD+C: NC,42,Certified,30/09/2024 00:00,Yes,Corporate: Privately Held,34293,Sq ft,0,Retail: Restaurant/Cafeteria,Al Futtaim Group Real Estate,28/09/2023 00:00
1000185681,No,Kerry Centre,683 King's Road,Quarry Bay,HK,00000,HK,LEED v4.1 O+M: EB,83,Platinum,11/03/2024 00:00,Yes,Corporate: Privately Held,47482,Sq m,0,Office: Mixed-Use,Kerry Properties Limited,30/09/2023 00:00
1000185900,No,9720 Wilshire Blvd,9720 Wilshire Blvd,Beverly Hills,CA,90212,US,LEED v4.1 O+M: EB,61,Gold,20/12/2024 00:00,Yes,Corporate: Privately Held,56368,Sq ft,0,Office: Administrative/Professional,"9720 Wilshire, LLC",02/10/2023 00:00
1000185976,No,Palazzo Biandra',Via dei Mercanti 12,Milan,MI,20121,IT,LEED v4.1 O+M: EB,67,Gold,07/10/2024 00:00,Yes,Investor: Investment Manager,13314,Sq m,0,Office: Administrative/Professional,GRE SGR S.p.A. - Fondo Euripide,04/10/2023 00:00
1000185977,No,1133 15th Street Recertification,1133 15th Street NW,Washington,DC,20005,US,LEED v4 O+M: EB,60,Gold,17/01/2024 00:00,Yes,"Investor: REIT, Publicly traded",231581,Sq ft,0,Office: Mixed-Use,DivcoWest,04/10/2023 00:00
1000186024,No,Jindal Stainless Limited,"KNIC, Dangadi,",Jajpur,Orissa,755026,IN,LEED v4.1 O+M: EB,72,Gold,11/09/2024 00:00,Yes,Corporate: Publicly Traded,65000,Sq ft,0,Office: Mixed-Use,Jindal Stainless Limited,05/10/2023 00:00
1000186043,No,WERT Sede,"Rua Rio PerequÛ, 519",Porto Belo,SC,88210-000,BR,LEED v4 BD+C: NC,84,Platinum,23/09/2024 00:00,Yes,Corporate: Privately Held,547,Sq m,0,Office: Mixed-Use,WERT Emepreendimentos,05/10/2023 00:00
1000186055,Yes,Confidential,Confidential,Confidential,Andra Pradesh,Confidential,IN,LEED v4.1 O+M: EB,70,Gold,19/03/2024 00:00,Yes,Confidential,4111,Sq m,0,Confidential,Confidential,06/10/2023 00:00
1000186057,Yes,Confidential,Confidential,Confidential,Andra Pradesh,Confidential,IN,LEED v4.1 O+M: EB,69,Gold,19/03/2024 00:00,Yes,Confidential,6880,Sq m,0,Confidential,Confidential,06/10/2023 00:00
1000186060,Yes,Confidential,Confidential,Confidential,TG,Confidential,IN,LEED v4.1 O+M: EB,74,Gold,19/03/2024 00:00,Yes,Confidential,6658,Sq m,0,Confidential,Confidential,06/10/2023 00:00
1000186064,Yes,Confidential,Confidential,Confidential,Andra Pradesh,Confidential,IN,LEED v4.1 O+M: EB,69,Gold,19/03/2024 00:00,Yes,Confidential,3886,Sq m,0,Confidential,Confidential,06/10/2023 00:00
1000186069,Yes,Confidential,Confidential,Confidential,Andra Pradesh,Confidential,IN,LEED v4.1 O+M: EB,73,Gold,19/03/2024 00:00,Yes,Confidential,6656,Sq m,0,Confidential,Confidential,06/10/2023 00:00
1000186071,Yes,Confidential,Confidential,Confidential,Andra Pradesh,Confidential,IN,LEED v4.1 O+M: EB,72,Gold,19/03/2024 00:00,Yes,Confidential,6530,Sq m,0,Confidential,Confidential,06/10/2023 00:00
1000186093,Yes,Confidential,Confidential,Confidential,MA,Confidential,US,LEED v4.1 O+M: EB,60,Gold,20/09/2024 00:00,Yes,Confidential,122518,Sq ft,0,Confidential,Confidential,06/10/2023 00:00
1000186117,Yes,Confidential,Confidential,Confidential,PV,Confidential,IT,LEED v4.1 O+M: EB,74,Gold,08/05/2024 00:00,Yes,Confidential,13744,Sq m,0,Confidential,Confidential,09/10/2023 00:00
1000186119,No,Indo Count Industries Ltd.,"Plot No. T4, Five Star Kagal  Hatkananga",Kolhapur,Maharashtra,416216,IN,LEED v4 BD+C: NC,54,Silver,22/03/2024 00:00,Yes,Corporate: Privately Held,144294,Sq ft,0,Industrial Manufacturing,Indo Count Industries Limited,09/10/2023 00:00
1000186149,No,Pacific Center,"No.555 Rihui East Road, Huangpu District",Shanghai,,200023,CN,LEED v4.1 O+M: EB,83,Platinum,18/03/2024 00:00,Yes,Corporate: Privately Held,40000,Sq m,0,Office: Mixed-Use,PacificRehouse,10/10/2023 00:00
1000186159,Yes,Confidential,Confidential,Confidential,Rajasthan,Confidential,IN,LEED v4.1 O+M: EB,76,Gold,27/02/2024 00:00,Yes,Confidential,75929,Sq ft,0,Confidential,Confidential,10/10/2023 00:00
1000186161,Yes,Confidential,Confidential,Confidential,Madhya Pradesh,Confidential,IN,LEED v4.1 O+M: EB,77,Gold,27/02/2024 00:00,Yes,Confidential,52469,Sq ft,0,Confidential,Confidential,10/10/2023 00:00
1000186170,No,DMart Sirhind Road Patiala,"Hassanpur prohta, sirhind-patiala road (",Patiala,Punjab,147001,IN,LEED v4.1 O+M: EB,77,Gold,19/03/2024 00:00,Yes,Corporate: Publicly Traded,85305,Sq ft,0,Retail: Other Retail,Avenue Supermarts Ltd.,10/10/2023 00:00
1000186176,Yes,Confidential,Confidential,Confidential,Punjab,Confidential,IN,LEED v4.1 O+M: EB,77,Gold,19/03/2024 00:00,Yes,Confidential,39213,Sq ft,0,Confidential,Confidential,10/10/2023 00:00
1000186180,Yes,Confidential,Confidential,Confidential,Punjab,Confidential,IN,LEED v4.1 O+M: EB,79,Gold,19/03/2024 00:00,Yes,Confidential,64547,Sq ft,0,Confidential,Confidential,10/10/2023 00:00
1000186183,No,ESQUEL GREENTECH & SMART INDUSTRIAL PARK,"No.91, Haitian Road, Hecheng Street,",Foshan,Guangdong,528500,CN,LEED v4 BD+C: NC,81,Platinum,05/09/2024 00:00,Yes,Corporate: Privately Held,17256,Sq m,0,Industrial Manufacturing,Guangdong Esquel Textiles Company Limite,10/10/2023 00:00
1000186204,No,West Bradenton Branch,2102 59th St W,Bradenton,FL,34209,US,LEED v4.1 O+M: EB,67,Gold,21/03/2024 00:00,Yes,Corporate: Publicly Traded,5642,Sq ft,0,Office: Financial,BayFirst National Bank,10/10/2023 00:00
1000186297,No,BOEHRINGER INGELHEIM SPAIN ECO RECERTIF.,Prat de la Riba,Sant Cugat del Valles,Barcelona,8174,ES,LEED v4 O+M: EB,85,Platinum,19/07/2024 00:00,Yes,Corporate: Privately Held,8606,Sq m,0,Office: Administrative/Professional,"BOEHRINGER INGELHEIM ESPANA, S.A.",16/10/2023 00:00
1000186316,No,Diagonal 579,Avenida Diagonal 579 - 585,Barcelona,Barcelona,8014,ES,LEED v4 O+M: EB,68,Gold,22/04/2025 00:00,Yes,Investor: Equity Fund,8585,Sq m,0,Office: Administrative/Professional,"EMESA CORPORACION EMPRESARIAL, S.L.",16/10/2023 00:00
1000186322,No,Trane Monterrey - Planta HVAC,Industrias Alimenticias 1000 Parque Indu,Apodaca,NL,66600,MX,LEED v4.1 O+M: EB,54,Silver,11/12/2024 00:00,Yes,Corporate: Privately Held,124469,Sq ft,0,Industrial Manufacturing,Trane Technologies Manufactura,16/10/2023 00:00
1000186335,No,RBC Gateway,250 Nicollet Mall,Minneapolis,MN,55401,US,LEED v4.1 O+M: EB,61,Gold,04/06/2024 00:00,Yes,Corporate: Publicly Traded,951000,Sq ft,0,Office: Mixed-Use,JLL,16/10/2023 00:00
1000186344,No,Hilltop Xiuzhou Logistic Center W1,"No. 181, Ruiyin West Rd, Wangdian Town,",Jiaxing,Zhejiang,314011,CN,LEED v4.1 O+M: EB,62,Gold,03/05/2024 00:00,Yes,Corporate: Privately Held,11030,Sq m,0,Warehouse: Nonrefrigerated Distribution/Shipping,"Meizhi (Jiaxing) Technology Co., Ltd.",17/10/2023 00:00
