Project_Id,Country,StateName,CityName,ProjectTypes,CertLevel,PointsAchieved,FloorArea,EnergySaving,CO2Avoided,CertDate
1000187240,BR,SP,SP,"Office: Administrative/Professional",Gold,64,7783,291862,37942,"2024-08-12 00:00:00"
1000187379,IT,RM,ROM,"Lodging: Hotel/Motel/Resort, Limited Service",Gold,69,6428,522275,130569,"2025-02-27 00:00:00"
1000187381,AE,AE,AD,"Office: Mixed-Use",Platinum,84,60135,3157088,1262835,"2024-06-12 00:00:00"
1000187389,BR,SC,NV,"Industrial Manufacturing",Platinum,82,10212,2501940,325252,"2024-05-02 00:00:00"
1000187450,CN,JIA,CHA,"Industrial Manufacturing",Gold,71,14414,2522450,1412572,"2024-01-18 00:00:00"
1000187456,CN,GUA,GUA,"Industrial Manufacturing",Platinum,82,15450,3785250,2119740,"2024-02-20 00:00:00"
1000187483,IN,WB,KOL,"Retail: Enclosed Mall",Platinum,82,38090.23,4332764,3076262,"2024-05-02 00:00:00"
1000187486,IN,KAR,BEN,"Lodging: Hotel/Motel/Resort, Full Service",Platinum,84,25914.3,2947752,2092904,"2024-06-21 00:00:00"
1000187546,BR,SP,SP,"Office: Administrative/Professional",Gold,60,10101,378788,49242,"2024-11-01 00:00:00"
1000187552,BR,SP,SP,"Office: Administrative/Professional",Gold,71,7255,272062,35368,"2024-07-26 00:00:00"
1000187554,BR,RJ,RDJ,"Office: Administrative/Professional",Silver,53,10967,246758,32078,"2024-10-01 00:00:00"
1000187556,BR,RJ,RDJ,"Office: Administrative/Professional",Gold,61,9354,350775,45601,"2024-11-19 00:00:00"
1000187570,CN,SHA,SHA,"Office: Mixed-Use",Platinum,83,56472.37,2964799,1660288,"2024-05-05 00:00:00"
1000187572,CN,ZHE,JIA,"Warehouse: Nonrefrigerated Distribution/Shipping",Gold,61,12488,1561000,874160,"2024-05-03 00:00:00"
1000187585,BR,RJ,RDJ,"Office: Administrative/Professional",Gold,64,8056,302100,39273,"2024-07-01 00:00:00"
1000187587,ES,BCN,BAR,"Office: Administrative/Professional",Platinum,85,34242,1797705,413472,"2024-08-21 00:00:00"
