Metric_Id,Project_Id,EnergySaving,CO2Avoided,WaterSaving,WasteAvoided
303,1000127577,1080471.0,475407.0,5013.385,86437680.0
304,1000127922,325102.0,182057.0,1676.084,34677600.0
305,1000127979,597134.0,262739.0,1194.268,9952237.5
306,1000128079,243870.0,107303.0,1077.675,16722540.0
307,1000128200,216090.0,95080.0,576.24,11524800.0
308,1000128224,678896.0,298714.0,3620.781,25862720.0
309,1000128432,2210125.0,552531.0,5304.3,88405000.0
310,1000128498,9884878.0,4349347.0,47447.417,282425100.0
311,1000128557,918600.0,284766.0,1837.2,15310000.0
312,1000128574,65498.0,20304.0,337.676,6986400.0
313,1000128661,1429573.0,629012.0,6317.351,98027856.0
314,1000128796,561334.0,246987.0,4559.762,24180555.0
315,1000128902,103317.0,45460.0,479.393,8265390.0
316,1000128927,5599391.0,2463732.0,29863.417,213310120.0
317,1000128928,367927.0,161888.0,981.139,19622780.0
318,1000128976,1419094.0,624401.0,510.874,22705500.0
319,1000129049,72791.0,32028.0,375.279,7764384.0
320,1000129511,1675183.0,1189380.0,12959.654,61852896.0
321,1000129542,164625.0,41156.0,763.86,13170000.0
322,1000129660,4229375.0,2368450.0,10150.5,169175000.0
323,1000129674,19262755.0,8475612.0,102734.694,733819240.0
324,1000129706,95806.0,42155.0,229.935,3832250.0
325,1000129771,21500.0,9460.0,83.132,2579958.0
326,1000129774,710418.0,312584.0,1705.002,28416700.0
327,1000129804,752514.0,331106.0,1672.254,16722540.0
328,1000129809,767610.0,337749.0,1705.801,17058010.0
329,1000130077,329601.0,145025.0,1699.278,35157480.0
330,1000130115,137177.0,60358.0,636.502,10974180.0
331,1000130117,75251.0,33111.0,125.419,1881285.0
332,1000130144,73316.0,32259.0,377.984,7820352.0
333,1000130152,528386.0,232490.0,1268.126,21135425.0
334,1000130386,1406250.0,618750.0,3375.0,56250000.0
335,1000130394,314827.0,138524.0,1679.076,11993400.0
336,1000130428,383225.0,168619.0,919.74,15329000.0
337,1000130454,691466.0,276586.0,1659.518,27658625.0
338,1000130598,17420.0,7665.0,46.452,929040.0
339,1000130960,491092.0,216081.0,982.185,8184875.0
340,1000130961,2405742.0,1058527.0,12830.625,91647320.0
341,1000130965,41495.0,18258.0,82.99,2489700.0
342,1000130970,407612.0,179349.0,905.804,9058040.0
343,1000130974,41608.0,18307.0,110.954,2219080.0
344,1000131005,165495.0,72818.0,397.188,6619800.0
345,1000131151,588076.0,258753.0,1176.152,9801262.5
346,1000131185,98942.0,43534.0,459.09,7915350.0
347,1000131219,546270.0,240359.0,2185.078,23411550.0
348,1000131228,315237.0,138704.0,700.526,7005260.0
349,1000131280,80013.0,35206.0,412.512,8534736.0
350,1000131522,47032.0,20694.0,218.229,3762570.0
351,1000131533,896068.0,394270.0,4779.029,34135920.0
352,1000131547,435483.0,191613.0,2020.641,34838640.0
353,1000131604,526923.0,231846.0,2529.232,15054950.0
354,1000131629,34164.0,15032.0,75.92,759200.0
355,1000131657,324609.0,142828.0,1506.186,25968720.0
356,1000131679,12983.0,5713.0,87.886,838908.0
357,1000131721,1679942.0,739175.0,13646.299,72366735.0
358,1000131722,44242.0,19466.0,228.09,4719096.0
359,1000131801,4817746.0,2119808.0,22354.344,385419720.0
360,1000131832,130645.0,57484.0,348.386,6967720.0
361,1000132019,256569.0,112890.0,2315.698,14736260.0
362,1000132038,207228.0,91180.0,1068.374,22104288.0
363,1000132061,114968.0,50586.0,533.449,9197400.0
364,1000132062,199974.0,87989.0,959.876,5713550.0
365,1000132181,54693.0,24065.0,145.848,2916960.0
366,1000132329,17692.0,7785.0,91.214,1887192.0
367,1000132337,414580.0,182415.0,1923.65,33166380.0
368,1000132401,174195.0,97549.0,769.776,11944800.0
369,1000132402,2639630.0,1478193.0,12066.88,64644000.0
370,1000132485,36486.0,16054.0,141.079,4378302.0
371,1000132496,81604.0,35906.0,163.208,4896225.0
372,1000132576,562295.0,247410.0,2898.946,59978184.0
373,1000132769,55742.0,24526.0,148.645,2972900.0
374,1000132770,49582.0,21816.0,132.22,2644400.0
375,1000132841,1279530.0,166339.0,6824.16,48744000.0
376,1000132908,509355.0,117152.0,2250.864,34927200.0
377,1000132952,662462.0,370979.0,1514.2,22713000.0
378,1000133076,1003520.0,712499.0,4587.52,24576000.0
379,1000133126,251116.0,110491.0,502.233,4185275.0
380,1000133206,203859.0,89698.0,1655.96,8781605.0
381,1000133308,1036798.0,456191.0,5345.267,110591736.0
382,1000133391,249613.0,109830.0,998.452,10697700.0
383,1000133434,34490.0,15176.0,160.035,2759220.0
384,1000133531,108765.0,47856.0,883.502,4685240.0
385,1000133540,414040.0,182178.0,1600.956,49684842.0
386,1000133544,3010058.0,1324425.0,6020.115,50167625.0
387,1000133563,86750.0,19952.0,208.2,3470000.0
388,1000133578,751817.0,330799.0,3007.267,32220720.0
389,1000133724,2160600.0,1209936.0,10025.184,172848000.0
390,1000133757,435170.0,191475.0,870.339,7252825.0
391,1000133767,54150.0,12454.0,251.256,4332000.0
392,1000133807,94720.0,41677.0,210.49,2104900.0
393,1000133851,394907.0,173759.0,2035.965,42123408.0
394,1000133893,513661.0,226011.0,2383.386,41092860.0
395,1000134053,28500.0,7125.0,132.24,2280000.0
396,1000134167,103575.0,32108.0,480.588,8286000.0
397,1000134194,3022367.0,1329842.0,14507.363,86353350.0
398,1000134207,539302.0,237293.0,1198.449,11984490.0
