ProjectName,CertLevel,GrossFloorAreaSqm,EnergySaving,EnergySaving_Percent,Cert_Level_Num
Jack Doyle Athletics & Recreation Centre,Silver,11658.0,524610.0,0.225,2
VALL HEBRON INSTITUT DE RECERCA - VHIR,Gold,11402.0,1995350.0,0.875,3
Forbes & Beeler Residence Hall,Gold,11148.36,905804.0,0.4062498878758849,3
Garrett College Performing Arts Center,Gold,2660.83,99781.0,0.18749976511088645,3
CSU - Spur - Terra Bldg.,Gold,6317.4,473805.0,0.375,3
CONF,Silver,2788.0,104550.0,0.1875,2
Houston Zoo Headquarters,Gold,3929.8,147368.0,0.18750063616469032,3
Granite Library,Gold,2954.32,221574.0,0.375,3
VU Owen Graduate School of Management,Gold,11436.36,857727.0,0.375,3
CSU College of Business,Gold,6038.7,452902.0,0.37499958600361005,3
CONF,Silver,8268.37,310064.0,0.18750007558926363,2
UW - Health Science Education Building,Gold,9104.49,682837.0,0.3750001372948952,3
Family First Community Center,Silver,1960.25,44106.0,0.11250095651064915,2
The Hale,Silver,38118.01,857655.0,0.11249997048639213,2
ZORDAN ATTILIO,Gold,5170.0,193875.0,0.1875,3
CCPL Bay Village Branch,Certified,1595.14,47854.0,0.14999937309577843,1
2750 19th Street,Silver,7986.41,179694.0,0.11249985913570679,2
MA State Police Lower Basin Barracks,Gold,1821.92,68322.0,0.1875,3
CONF,Certified,4168.74,104218.0,0.12499940029841151,1
University of Dayton Center for the Arts,Gold,4784.69,358852.0,0.3750002612499452,3
Virginia Tech Data and Decision Sciences,Silver,11148.36,501676.0,0.2249999103007079,2
Lincoln at Bankside,Silver,84260.42,1895859.0,0.11249997329707115,2
CCP Career & Advanced Technology Center,Gold,6967.72,522579.0,0.375,3
De Anza Morningstar,Silver,7958.35,179063.0,0.11250007853386694,2
CoverMyMeds Phase I,Platinum,29058.39,1525565.0,0.2624999182680114,4
WMATA - New Carrollton,Gold,29728.96,1114836.0,0.1875,3
Merser Mercedes-Benz Showroom & Service,Gold,12506.0,781625.0,0.3125,3
1900 Crystal Drive,Silver,44186.25,994191.0,0.11250004243401511,2
CONF,Platinum,2042.1,178684.0,0.4375006121149797,4
South Endzone,Silver,10516.62,1104245.0,0.5249999524562075,2
Mica RiNo,Gold,44019.11,1650717.0,0.18750004259513653,3
Missouri Botanical Garden Visitor Center,Gold,8547.08,320516.0,0.18750029249755473,3
Ctrls Datacenters Limited,Gold,5121.0,640125.0,0.625,3
Project Lannister Offices,Gold,6455.0,242062.0,0.18749961270333076,3
Lake & River Hall,Gold,21561.11,1617083.0,0.3749999420252482,3
FIU- Parkview II - Student Housing,Certified,27827.24,904385.0,0.16249994609598364,1
Sage at National Landing,Silver,24192.22,544325.0,0.11250001033390074,2
The Broadview at Vanderbilt,Gold,35089.46,1315855.0,0.18750003562323272,3
UP Shiley-Marcos Center,Gold,3575.0,268125.0,0.375,3
CCAC CEIT,Silver,4774.29,214843.0,0.22499994763619302,2
Waterloo Regional Police Services,Silver,8816.0,198360.0,0.1125,2
Tampa US Customs & Border Protection,Certified,2604.72,182330.0,0.34999923216315,1
FIS HQ,Platinum,34959.77,1835388.0,0.2625000107266152,4
Iowa State Veterinary Diagnostic Lab,Silver,9391.1,422600.0,0.22500026620949623,2
"The Virginian  Fairfax, VA",Silver,34113.05,3581870.0,0.5249999633571316,2
Malachowsky Hall Data Sciences & IT,Platinum,24474.37,2569809.0,0.5250000306443026,4
Animal Services Center of Mesilla Valley,Certified,1683.31,42083.0,0.12500074258455068,1
Ringling Dining,Gold,2601.28,130064.0,0.24999999999999997,3
UCF Roth Athletic Center,Certified,3572.31,89308.0,0.1250003499136413,1
Town of Vienna Police Headquarters,Silver,2631.01,59198.0,0.11250052261298893,2
281007 Renovate Crosby Hall,Gold,7339.34,550450.0,0.3749996593699161,3
CONF,Platinum,14715.0,1287562.0,0.4374998301053347,4
CONF,Platinum,21054.0,1842225.0,0.4375,4
CONF,Platinum,19790.0,1731625.0,0.4375,4
