Project_Id,ProjectName,Country,CertLevel,CertDate,GrossFloorAreaSqm,Energy_Saving_kWh,CO2_Avoided_kg
1000100546,WAG - Inuit Art Centre Addition,CA,Certified,2024-01-09,3367.0,50505.0,15657.0
1000100613,University of Calgary MacKimmie Complex,CA,Platinum,2024-05-10,33568.0,1762320.0,546319.0
1000101896,Ko'ula,US,Gold,2024-11-11,66971.91,2511447.0,1105037.0
1000103118,U.S. DOT Volpe Exchange Project,US,Platinum,2024-08-20,52583.38,2760627.0,1214676.0
1000103264,SEA International Arrivals Facility,US,Silver,2024-07-12,31587.02,1184513.0,521186.0
1000103365,CONF,IT,Gold,2024-11-05,9049.0,565562.0,141391.0
1000103869,UCLA Southwest Campus Apartments,US,Gold,2024-05-10,54345.0,4415531.0,1942834.0
1000103925,Ovation Apartments,US,Silver,2024-02-14,50364.11,1133192.0,498605.0
1000104109,UCDH Eye Center Addition,US,Gold,2024-01-26,6002.0,1050350.0,462154.0
1000104125,Bramalea GO Station,CA,Gold,2024-04-08,1500.0,262500.0,81375.0
1000104142,UVA - Bond House,US,Silver,2024-12-31,18580.6,905804.0,398554.0
1000104206,CSU Chico Science Building,US,Silver,2024-08-20,10219.33,459870.0,202343.0
1000105074,Makers Rise,US,Certified,2024-01-09,37070.25,556054.0,244664.0
1000105198,Yards - Parcel I,US,Silver,2024-10-30,37163.52,836179.0,367919.0
1000105226,ARMY PN86877 AFH090 Family Towers,KR,Gold,2024-09-12,56298.0,2111175.0,865582.0
1000105276,Diablo Valley College Arts Complex,US,Gold,2024-07-02,3128.32,234624.0,103235.0
1000105304,CONF,IT,Gold,2024-02-05,5567.0,347938.0,86984.0
1000105372,Manitou a bi Bii daziigae,CA,Gold,2024-10-16,11052.0,828900.0,256959.0
1000105401,Nicholson Tower,CA,Silver,2024-06-19,4027.0,90608.0,28088.0
1000105461,MTL-Centre aquatique Rosemont,CA,Gold,2024-06-06,6765.0,253688.0,78643.0
1000105781,Istanbul Universitesi AUZEF Binasi,TR,Silver,2024-06-03,6848.0,154080.0,66254.0
1000105885,Cambridge Crossing - Park 151,US,Gold,2024-07-16,40338.48,1512693.0,665585.0
1000106028,Laserfiche,US,Silver,2024-05-14,9290.3,209032.0,91974.0
1000106369,UPMC Vision And Rehabilitation Hospital,US,Certified,2024-05-21,39282.18,2749753.0,1209891.0
1000106432,Borgen Precourt Center for Sustainabilit,US,Certified,2024-02-20,721.11,10817.0,4759.0
1000106487,Poste de la SQ Beauce-Sartigan,CA,Certified,2024-01-15,1916.0,28740.0,8909.0
1000106506,Lynnwood City Center,US,Gold,2024-06-25,1641.6,287280.0,126403.0
1000106759,280 Park Avenue,US,Gold,2024-09-10,117541.25,4407797.0,1939431.0
1000106799,PE & K Renovation,US,Silver,2024-03-14,5921.17,266453.0,117239.0
1000106828,Saint Vincent College Library,US,Certified,2024-06-14,4954.05,148622.0,65393.0
1000106835,Yale Peabody Museum of Natural History,US,Gold,2024-07-29,13099.32,491224.0,216139.0
1000106921,DEN Airport Concourse A West Expansion,US,Platinum,2024-09-26,45250.73,11086429.0,4878029.0
1000107162,William and Linda Frost Center,US,Gold,2024-09-30,9816.13,736210.0,323932.0
1000107173,CONF,ES,Certified,2024-01-17,798.0,19950.0,4588.0
1000107660,Rane Culinary Science Center,US,Silver,2024-03-05,13201.14,594051.0,261383.0
1000107702,Central Bank Center,US,Silver,2024-05-07,35352.1,795422.0,349986.0
1000107703,Pavilion at the Central Bank Center,US,Certified,2024-05-07,5611.06,84166.0,37033.0
1000108028,Southeast Community Center,US,Gold,2024-02-06,4645.15,174193.0,76645.0
1000108048,Dartmouth Anonymous Hall,US,Gold,2024-08-23,3158.7,236902.0,104237.0
1000108083,Agincourt GO Station,CA,Gold,2024-04-18,847.0,148225.0,45950.0
1000108087,UC Calhoun Hall,US,Silver,2024-03-01,15410.29,751252.0,330551.0
1000108108,LAX APM Maintenance & Storage Facility,US,Platinum,2024-11-26,8677.14,2125899.0,935396.0
1000108110,210 Route 4 East,US,Silver,2024-01-26,11891.58,267561.0,117727.0
1000108133,CONF,US,Certified,2024-02-01,4542.96,113574.0,49973.0
1000108153,Cheko'nien House,CA,Gold,2024-06-17,175946.7094,14295670.0,4431658.0
1000108294,Kenyon College Oden Hall,US,Silver,2024-01-05,4104.73,184713.0,81274.0
1000108878,Autumn Grove Lodge,CA,Silver,2024-01-24,7802.0,380348.0,117908.0
1000109218,CONF,US,Gold,2024-10-17,6941.15,433822.0,190882.0
1000109723,DMA Cyber,US,Silver,2024-04-05,3824.07,86042.0,37858.0
1000110129,AEP Newark Service Center,US,Certified,2024-05-02,5344.52,80168.0,35274.0
1000110131,EGCC-Acute Mental Health Unit,US,Silver,2024-09-10,836.13,31355.0,13796.0
1000110216,GRCC/ATC Addition No. 1,US,Silver,2024-09-20,2077.31,93479.0,41131.0
1000110262,VCU STEM Building,US,Gold,2024-05-23,15551.87,1166390.0,513212.0
1000110302,CONF,US,Silver,2024-08-30,5084.58,190672.0,83896.0
1000110444,Ball State University North Res. Hall 2,US,Silver,2024-09-11,14373.12,700690.0,308303.0
1000110904,SJSU Interdisciplinary Science Building,US,Gold,2024-05-22,14433.5,2525862.0,1111380.0
1000111286,UCLA Botany Building Renovation,US,Platinum,2024-10-23,3469.93,364343.0,160311.0
1000111466,CONF,IN,Gold,2024-03-19,8129.01,508063.0,360725.0
1000111605,Renovation of Historic City Hall,US,Silver,2024-01-26,4131.58,92961.0,40903.0
1000111662,Iowa City Public Works Phase 1,US,Gold,2024-01-23,7924.07,297153.0,130747.0
1000111672,CONF,KR,Silver,2024-06-10,20914.0,784275.0,321553.0
1000112085,Shelo Nabel CN Queretaro,MX,Silver,2024-06-05,1025.46,23073.0,6922.0
1000112243,ING Bank Turkey Headquarters,TR,Gold,2024-03-22,23608.14,885305.0,380681.0
1000112295,York University SCS,CA,Gold,2024-02-12,10315.0,773625.0,239824.0
1000112312,Denver Water NTP Operations Building,US,Gold,2024-04-24,576.0,21600.0,9504.0
1000112631,JM Family - Offices A & B,US,Gold,2024-07-09,16362.26,613585.0,269977.0
1000112679,COTA Fields Avenue CNG Station,US,Certified,2024-07-01,26495.38,1854677.0,816058.0
1000112817,Jack Beyerl Residence Hall,US,Silver,2024-02-19,12790.89,623556.0,274365.0
1000112883,Terre dei Consoli - Club House Building,IT,Certified,2024-02-15,14176.0563,354401.0,88600.0
1000113225,CONF,US,Platinum,2024-07-17,33239.67,2908471.0,1279727.0
1000113372,VMI CPTF AQUATIC CENTER,US,Certified,2024-02-08,5388.37,134709.0,59272.0
1000113485,PorterFamily Indoor Performance Facility,US,Silver,2024-06-27,8439.31,316474.0,139249.0
1000114419,CONF,BR,Gold,2024-07-26,28071.0,1754438.0,228077.0
1000114453,CONF,US,Platinum,2024-09-17,83256.84,7284974.0,3205388.0
1000114457,"Whatcom Vlg - 3 4 5 6, N O P Q",US,Platinum,2024-09-17,80173.99,4209134.0,1852019.0
1000114924,CONF,US,Silver,2024-11-14,13425.51,503457.0,221521.0
1000114974,W&M Sadler West Addition,US,Silver,2024-08-02,5097.49,114694.0,50465.0
1000114987,W&M Campus Living Center,US,Silver,2024-05-05,975.67,102445.0,45076.0
1000115030,Oakville Trafalgar Community Centre,CA,Gold,2024-11-14,4497.0,168638.0,52278.0
1000115045,Grafton MA Library Expansion/Renovation,US,Silver,2024-03-13,2322.57,104516.0,45987.0
1000115047,CONF,US,Silver,2024-02-01,38417.99,1440675.0,633897.0
1000115053,UVM Firestone Medical Research Building,US,Silver,2024-05-09,5616.45,589727.0,259480.0
1000115157,DVC Health Sciences & Athletics Complex,US,Gold,2024-12-03,2987.3,224048.0,98581.0
1000115201,University of Calgary Mathison Hall,CA,Platinum,2024-11-25,107639.0,11302095.0,3503649.0
1000115231,Centro Internacional del Espanol,ES,Gold,2024-01-18,5371.0,201412.0,46325.0
1000115244,Wesleyan Public Affairs Center,US,Gold,2024-07-01,6936.7,520252.0,228911.0
1000115261,Hilton Columbus Downtown Expansion,US,Gold,2024-09-06,42873.9,3483504.0,1532742.0
1000116060,22 Banner Lane,US,Silver,2024-06-25,22276.28,501216.0,220535.0
1000116061,44 Banner Lane,US,Silver,2024-06-25,36463.03,820418.0,360984.0
