Project_Id,Location_Id,ProjectName,GrossFloorAreaSqm,ProjectTypes,IsCertified
1000114987,184,W&M Campus Living Center,975.67,Healthcare: Clinic/Other Outpatient,Yes
1000115030,185,Oakville Trafalgar Community Centre,4497.0,Public Assembly: Recreation,Yes
1000115045,186,Grafton MA Library Expansion/Renovation,2322.57,Public Assembly: Library,Yes
1000115047,187,CONF,38417.99,CONF,Yes
1000115053,188,UVM Firestone Medical Research Building,5616.45,Laboratory,Yes
1000115157,189,DVC Health Sciences & Athletics Complex,2987.3,Core Learning Space: College/University,Yes
1000115201,190,University of Calgary Mathison Hall,107639.0,Core Learning Space: College/University,Yes
1000115231,191,Centro Internacional del Espanol,5371.0,Public Assembly: Other Assembly,Yes
1000115244,192,Wesleyan Public Affairs Center,6936.7,Core Learning Space: College/University,Yes
1000115261,193,Hilton Columbus Downtown Expansion,42873.9,"Lodging: Hotel/Motel/Resort, Full Service",Yes
1000116060,194,22 Banner Lane,22276.28,Multi-Family Residential: Apartment,Yes
1000116061,195,44 Banner Lane,36463.03,Multi-Family Residential: Apartment,Yes
1000116182,196,Shenling Base III R&D Building,19992.73,Office: Other Office,Yes
1000116565,197,Block 216,76090.44,"Lodging: Hotel/Motel/Resort, Full Service",Yes
1000116670,198,AL-MUNTADA Knowledge Space Saint-Gobain,400.0,Office: Mixed-Use,Yes
1000116708,199,MSU Public Safety Building,1856.48,Public Order and Safety: Other Public Order,Yes
1000116948,200,City of Raleigh Fire Station 22,1462.85,Public Order and Safety: Fire/Police Station,Yes
1000117003,201,DSWA Administration Building,2120.98,Office: Administrative/Professional,Yes
1000117364,202,GCO Mendez Alvaro 31,22707.0,Office: Administrative/Professional,Yes
1000117389,203,Sesquicentennial Hall,9200.09,Core Learning Space: College/University,Yes
1000117468,204,"Clearwater Credit Union, Brooks Branch",626.91,Retail: Bank Branch,Yes
1000117493,205,Penn State Berks Beaver Community Center,6874.82,Core Learning Space: College/University,Yes
1000117571,206,Kaiser Permanente Springfield MOB,9215.05,Office: Medical (Non-Diagnostic),Yes
1000117911,207,Toyota MS Experience Center,1378.68,Public Assembly: Other Assembly,Yes
1000117981,208,Raclin Murphy Museum of Art,6812.58,Public Assembly: Other Assembly,Yes
1000117983,209,UC Davis Shasta Hall,19416.17,Lodging: Dormitory,Yes
1000118039,210,The Standard at Seattle,51341.82,Multi-Family Residential: Apartment,Yes
1000118205,211,HLS Lewis Hall,4050.48,Core Learning Space: College/University,Yes
1000118400,212,BTC Phase III construction,53652.6,Industrial Manufacturing,Yes
1000118401,213,Administration Building of BTC,6995.6,Office: Mixed-Use,Yes
1000118791,214,CONF,14610.95,CONF,Yes
1000119140,215,Comisaria Policia Olesa de Montserrat,597.0,Public Order and Safety: Fire/Police Station,Yes
1000119329,216,AUS IT Building,3741.85,Airport: Office,Yes
1000119511,217,Jane E. Heminger Hall,3530.31,Core Learning Space: College/University,Yes
1000119611,218,Ereks Blue Matters Resp. Prod. Platform,9754.82,Industrial Manufacturing,Yes
1000119612,219,Emory University HSRB II,32144.44,Laboratory,Yes
1000119708,220,MTL-Maison Robert-Belanger,335.0,Office: Other Office,Yes
1000119744,221,CONF,7897.41,CONF,Yes
1000119745,222,Indianapolis-Marion County Sheriff/ADC,74483.87,Lodging: Other lodging,Yes
1000119759,223,CONF,2694.19,CONF,Yes
1000119770,224,Rice Sid Richardson Residential College,11705.78,Lodging: Dormitory,Yes
1000119772,225,NKU Residence Hall,6523.65,Multi-Family Residential: Apartment,Yes
1000119839,226,Rutherford GO Station,2663.0,Transit: Station/Underground,Yes
1000119861,227,UMW Virginia Hall Renovation,4244.46,Lodging: Dormitory,Yes
1000120063,228,East Columbia 50+ Center,2879.99,Public Assembly: Other Assembly,Yes
1000120075,229,Stockyards Event Center at the NWC,4452.84,Public Assembly: Stadium/Arena,Yes
1000120085,230,Maintenance & Storage Facility Main Bldg,5052.0,Transit: Maintenance/Storage,Yes
1000120132,231,CBC Student Recreation Center,7263.99,Public Assembly: Recreation,Yes
1000120314,232,CSULA Student Housing East Project,34194.44,Lodging: Dormitory,Yes
1000120423,233,CRIF 21,12100.0,Office: Administrative/Professional,Yes
1000120797,234,Irving Institute for Energy & Society,4244.55,Office: Mixed-Use,Yes
1000120828,235,Penn State Mont Alto Allied Health,2043.87,Core Learning Space: College/University,Yes
1000120869,236,Remick Family Hall,4045.18,Core Learning Space: College/University,Yes
1000120913,237,Alief Neighborhood Center,6647.3,Public Assembly: Other Assembly,Yes
1000120994,238,Metro Building at Eisenhower,39501.15,Office: Administrative/Professional,Yes
1000121357,239,ASGC Labour Accommodation Building,10220.44,Lodging: Other lodging,Yes
1000121363,240,Purdue Dudley Hall and Lambertus Hall,23167.69,Core Learning Space: College/University,Yes
1000121586,241,Animal Control Facility,2035.97,Public Order and Safety: Other Public Order,Yes
1000121590,242,Via Ripamonti 37,31746.0,Lodging: Dormitory,Yes
1000121687,243,KP MMC Ambulatory Surgery Center,8267.62,Healthcare: Clinic/Other Outpatient,Yes
1000121700,244,CONF,6801.99,CONF,Yes
1000121785,245,Jack Doyle Athletics & Recreation Centre,11658.0,Core Learning Space: College/University,Yes
1000121792,246,VALL HEBRON INSTITUT DE RECERCA - VHIR,11402.0,Office: Medical (Non-Diagnostic),Yes
1000122321,247,Forbes & Beeler Residence Hall,11148.36,Lodging: Dormitory,Yes
1000122372,248,Garrett College Performing Arts Center,2660.83,Public Assembly: Entertainment,Yes
1000122888,249,CSU - Spur - Terra Bldg.,6317.4,Core Learning Space: Other classroom education,Yes
1000122899,250,CONF,2788.0,CONF,Yes
1000123012,251,Houston Zoo Headquarters,3929.8,Office: Administrative/Professional,Yes
1000123183,252,Granite Library,2954.32,Public Assembly: Library,Yes
1000123400,253,VU Owen Graduate School of Management,11436.36,Core Learning Space: College/University,Yes
1000123721,254,CSU College of Business,6038.7,Core Learning Space: College/University,Yes
1000123783,255,CONF,8268.37,CONF,Yes
1000123812,256,UW - Health Science Education Building,9104.49,Core Learning Space: College/University,Yes
1000123851,257,Family First Community Center,1960.25,Public Assembly: Recreation,Yes
1000124095,258,The Hale,38118.01,Multi-Family Residential: Apartment,Yes
1000124108,259,ZORDAN ATTILIO,5170.0,Office: Other Office,Yes
1000124249,260,CCPL Bay Village Branch,1595.14,Public Assembly: Library,Yes
1000124273,261,2750 19th Street,7986.41,Multi-Family Residential: Apartment,Yes
1000124286,262,MA State Police Lower Basin Barracks,1821.92,Public Order and Safety: Fire/Police Station,Yes
1000124295,263,CONF,4168.74,CONF,Yes
1000124300,264,University of Dayton Center for the Arts,4784.69,Core Learning Space: College/University,Yes
1000124371,265,Virginia Tech Data and Decision Sciences,11148.36,Core Learning Space: College/University,Yes
1000124417,266,Lincoln at Bankside,84260.42,Multi-Family Residential: Apartment,Yes
1000124497,267,CCP Career & Advanced Technology Center,6967.72,Core Learning Space: College/University,Yes
1000124510,268,De Anza Morningstar,7958.35,Multi-Family Residential: Apartment,Yes
1000124547,269,CoverMyMeds Phase I,29058.39,Office: Administrative/Professional,Yes
1000124589,270,WMATA - New Carrollton,29728.96,Office: Administrative/Professional,Yes
1000124722,271,Merser Mercedes-Benz Showroom & Service,12506.0,Service: Vehicle Service/Repair,Yes
1000124776,272,1900 Crystal Drive,44186.25,Multi-Family Residential: Apartment,Yes
1000124804,273,CONF,2042.1,CONF,Yes
1000124812,274,South Endzone,10516.62,Public Assembly: Stadium/Arena,Yes
1000125031,275,Mica RiNo,44019.11,Multi-Family Residential: Apartment,Yes
1000125072,276,Missouri Botanical Garden Visitor Center,8547.08,Public Assembly: Other Assembly,Yes
1000125146,277,Ctrls Datacenters Limited,5121.0,Data Center,Yes
1000125291,278,Project Lannister Offices,6455.0,Office: Administrative/Professional,Yes
1000125416,279,Lake & River Hall,21561.11,Core Learning Space: College/University,Yes
1000125563,280,FIU- Parkview II - Student Housing,27827.24,Lodging: Dormitory,Yes
1000125581,281,Sage at National Landing,24192.22,Multi-Family Residential: Apartment,Yes
1000125609,282,The Broadview at Vanderbilt,35089.46,Multi-Family Residential: Apartment,Yes
1000125660,283,UP Shiley-Marcos Center,3575.0,Core Learning Space: College/University,Yes
1000125676,284,CCAC CEIT,4774.29,Core Learning Space: College/University,Yes
1000125733,285,Waterloo Regional Police Services,8816.0,Public Order and Safety: Fire/Police Station,Yes
1000125921,286,Tampa US Customs & Border Protection,2604.72,Airport: Office,Yes
1000126140,287,FIS HQ,34959.77,Office: Administrative/Professional,Yes
1000126363,288,Iowa State Veterinary Diagnostic Lab,9391.1,Core Learning Space: College/University,Yes
1000126435,289,"The Virginian  Fairfax, VA",34113.05,Healthcare: Nursing Home/ Assisted Living,Yes
1000126485,290,Malachowsky Hall Data Sciences & IT,24474.37,Core Learning Space: College/University,Yes
1000126661,291,Animal Services Center of Mesilla Valley,1683.31,Other,Yes
1000126697,292,Ringling Dining,2601.28,Retail: Restaurant/Cafeteria,Yes
1000126743,293,UCF Roth Athletic Center,3572.31,Other,Yes
1000126744,294,Town of Vienna Police Headquarters,2631.01,Public Order and Safety: Fire/Police Station,Yes
1000126748,295,281007 Renovate Crosby Hall,7339.34,Core Learning Space: College/University,Yes
1000126761,296,CONF,14715.0,CONF,Yes
1000126762,297,CONF,21054.0,CONF,Yes
1000126780,298,CONF,19790.0,CONF,Yes
1000126781,299,CONF,1975.0,CONF,Yes
1000126860,300,FSU Center for Virtual Learning,5556.53,Core Learning Space: College/University,Yes
1000127107,301,WWU Interdisciplinary Science Building,5258.31,Core Learning Space: College/University,Yes
1000127189,302,CLV Health + Wellness,792.65,Office: Medical (Non-Diagnostic),Yes
1000127577,303,Mission Rock Parcel A,28812.56,Multi-Family Residential: Apartment,Yes
1000127922,304,Chongqing Cummins New Office Building,14449.0,Office: Mixed-Use,Yes
1000127979,305,CMU Scaife Hall,7961.79,Core Learning Space: College/University,Yes
1000128079,306,Cleveland Museum Natural History Phase2,4645.15,Public Assembly: Museum,Yes
1000128200,307,CONF,5762.4,CONF,Yes
1000128224,308,U-M Dean Road Transportation Facility,6465.68,Transit: Other,Yes
1000128432,309,CONF,35362.0,CONF,Yes
1000128498,310,Jeffrey T Fort Neuro Research Building,56485.02,Laboratory,Yes
1000128557,311,"Centennial College, A-Building",12248.0,Core Learning Space: College/University,Yes
1000128574,312,St. Albert Fire Hall-1,2911.0,Public Order and Safety: Fire/Police Station,Yes
1000128661,313,901 Cherry Phase II - Buildings 2 and 3,27229.96,Office: Administrative/Professional,Yes
1000128796,314,Hotel Verdant,6908.73,"Lodging: Hotel/Motel/Resort, Full Service",Yes
1000128902,315,Airbus-Delivery Center Expansion,2755.13,Office: Administrative/Professional,Yes
1000128927,316,Wolfspeed MVF-FAB ADMIN,53327.53,Industrial Manufacturing,Yes
1000128928,317,Wolfspeed MVF-CUB,9811.39,Service: Other Service,Yes
1000128976,318,Greater Pittsburgh Food Bank Expansion,11352.75,Warehouse: Refrigerated,Yes
1000129049,319,Garvey Hall,3235.16,Public Assembly: Other Assembly,Yes
1000129511,320,Four Points by Sheraton Navi Mumbai,14726.88,"Lodging: Hotel/Motel/Resort, Full Service",Yes
1000129542,321,Nuovo Centro Direzionale CDO3 - Veritas,4390.0,Office: Administrative/Professional,Yes
1000129660,322,CONF,67670.0,CONF,Yes
1000129674,323,Bridgestone Warren Plant Recertification,183454.81,Industrial Manufacturing,Yes
1000129706,324,CONF,1532.9,CONF,Yes
1000129771,325,Aransas National Wildlife Refuge,1433.31,Office: Government,Yes
1000129774,326,CONF,11366.68,CONF,Yes
1000129804,327,University of Cincinnati Clifton Court,16722.54,Core Learning Space: College/University,Yes
1000129809,328,MU Clinical Health Sciences,17058.01,Core Learning Space: College/University,Yes
1000130077,329,1701 H Street NE,14648.95,Multi-Family Residential: Apartment,Yes
1000130115,330,Mann Older Adult Rivera Rec. Center,3658.06,Public Assembly: Recreation,Yes
1000130117,331,Lucas Hall,2508.38,Core Learning Space: College/University,Yes
1000130144,332,Blacksburg Police Headquarters,3258.48,Public Order and Safety: Fire/Police Station,Yes
1000130152,333,SLCC Juniper Building - Herriman Campus,8454.17,Other,Yes
1000130386,334,CONF,22500.0,CONF,Yes
1000130394,335,Morningstar at West Valley Memory Care,2998.35,Healthcare: Nursing Home/ Assisted Living,Yes
1000130428,336,CONF,6131.6,CONF,Yes
1000130454,337,District Cooling Plant BB05,11063.45,Service: Other Service,Yes
1000130598,338,CONF,464.52,CONF,Yes
1000130960,339,Colby College Gordon Center,6547.9,Core Learning Space: College/University,Yes
1000130961,340,NYU Ambulatory Hub 1111 Franklin Avenue,22911.83,Healthcare: Clinic/Other Outpatient,Yes
1000130965,341,CONF,1659.8,CONF,Yes
1000130970,342,Capers Hall - Building Replacement,9058.04,Core Learning Space: College/University,Yes
1000130974,343,CONF,1109.54,CONF,Yes
1000131005,344,Mult. Behavioral Health Resource Center,2647.92,Other,Yes
1000131151,345,UW - Founders Hall,7841.01,Core Learning Space: College/University,Yes
1000131185,346,Green Hill School Recreation Building,2638.45,Public Assembly: Recreation,Yes
1000131219,347,Five Rivers Health Centers - M.O.B.,7803.85,Healthcare: Clinic/Other Outpatient,Yes
1000131228,348,LPC Public Safety Complex/AMT,7005.26,Core Learning Space: College/University,Yes
1000131280,349,PennDOT D6-0 RTMC,3556.14,Office: Government,Yes
1000131522,350,Soccer and Lacrosse Facility Expansion,1254.19,Office: Mixed-Use,Yes
