Certification_Id,Project_Id,RatingSystem,PointsAchieved,CertLevel,CertDate
180,1000114453,LEED v4 BD+C: NC,82,Platinum,2024-09-17
181,1000114457,LEED v4 BD+C: NC,83,Platinum,2024-09-17
182,1000114924,LEED v4 BD+C: NC,53,Silver,2024-11-14
183,1000114974,LEED v4 BD+C: NC,55,Silver,2024-08-02
184,1000114987,LEED v4 BD+C: NC,50,Silver,2024-05-05
185,1000115030,LEED v4 BD+C: NC,62,Gold,2024-11-14
186,1000115045,LEED v4 BD+C: NC,52,Silver,2024-03-13
187,1000115047,LEED v4 BD+C: NC,54,Silver,2024-02-01
188,1000115053,LEED v4 BD+C: NC,57,Silver,2024-05-09
189,1000115157,LEED v4 BD+C: NC,68,Gold,2024-12-03
190,1000115201,LEED v4 BD+C: NC,80,Platinum,2024-11-25
191,1000115231,LEED v4 BD+C: NC,67,Gold,2024-01-18
192,1000115244,LEED v4 BD+C: NC,63,Gold,2024-07-01
193,1000115261,LEED v4 BD+C: NC,64,Gold,2024-09-06
194,1000116060,LEED v4 BD+C: NC,57,Silver,2024-06-25
195,1000116061,LEED v4 BD+C: NC,56,Silver,2024-06-25
196,1000116182,LEED v4 BD+C: NC,80,Platinum,2024-04-10
197,1000116565,LEED v4 BD+C: NC,60,Gold,2024-03-13
198,1000116670,LEED v4 BD+C: NC,68,Gold,2024-08-02
199,1000116708,LEED v4 BD+C: NC,52,Silver,2024-06-17
200,1000116948,LEED v4 BD+C: NC,60,Gold,2024-10-01
201,1000117003,LEED v4 BD+C: NC,53,Silver,2024-01-18
202,1000117364,LEED v4 BD+C: NC,89,Platinum,2025-03-11
203,1000117389,LEED v4 BD+C: NC,64,Gold,2024-03-05
204,1000117468,LEED v4 BD+C: NC,52,Silver,2024-07-25
205,1000117493,LEED v4 BD+C: NC,41,Certified,2024-07-17
206,1000117571,LEED v4 BD+C: NC,62,Gold,2024-05-07
207,1000117911,LEED v4 BD+C: NC,84,Platinum,2024-04-16
